;NomVille;MAJ   ; Code Postal ; Code INSEE ;Code Région; Latitude ; Longitude ; Eloignement 
75;Boz;BOZ   ;1190;1057;82;46.4;4.9;1.91
76;Ozan;OZAN   ;1190;1284;82;46.383333;4.916667;1.81
77;Reyssouze;REYSSOUZE   ;1190;1323;82;46.433333;4.916667;2.11
78;Pont-de-Vaux;PONT DE VAUX ;1190;1305;82;46.433333;4.933333;2.11
79;Chevroux;CHEVROUX   ;1190;1102;82;46.383333;4.95;1.81
80;Gorrevod;GORREVOD   ;1190;1175;82;46.416667;4.95;2.01
81;Arbigny;ARBIGNY   ;1190;1016;82;46.466667;4.966667;2.31
82;Saint-Bénigne;SAINT BENIGNE  ;1190;1337;82;46.433333;4.966667;2.11
83;Sermoyer;SERMOYER   ;1190;1402;82;46.5;4.983333;2.51
84;Boissey;BOISSEY   ;1190;1050;82;46.383333;5.0;1.81
85;Chavannes-sur-Reyssouze;CHAVANNES SUR REYSSOUZE ;1190;1094;82;46.433333;5.0;2.11
86;Saint-Étienne-sur-Reyssouze;SAINT ETIENNE SUR REYSSOUZE;1190;1352;82;46.4;5.0;1.91
87;Saint-Germain-sur-Rhône;SAINT GERMAIN SUR RHONE;1200;74235;72;46.066667;5.816667;2.16
88;Éloise;ELOISE   ;1200;74109;72;46.083333;5.866667;1.94
89;Craz-en-Michaille;CRAZ EN MICHAILLE ;1200;1131;82;46.033333;5.766667;1.66
90;Billiat;BILLIAT   ;1200;1044;82;46.066667;5.783333;1.5
91;Châtillon-en-Michaille;CHATILLON EN MICHAILLE ;1200;1091;82;46.133333;5.783333;1.5
92;InjouxGénissiat;INJOUX GENISSIAT  ;1200;1189;82;46.05;5.783333;1.5
93;Ochiaz;OCHIAZ   ;1200;1278;82;46.116667;5.783333;1.5
94;Villes;VILLES   ;1200;1448;82;46.083333;5.783333;1.5
95;Vouvray;VOUVRAY   ;1200;1458;82;46.116667;5.783333;1.5
96;Montanges;MONTANGES   ;1200;1257;82;46.166667;5.8;1.55
97;Bellegarde-sur-Valserine;BELLEGARDE SUR VALSERINE ;1200;1033;82;46.1;5.816667;1.61
98;Confort;CONFORT   ;1200;1114;82;46.15;5.816667;1.61
99;Lancrans;LANCRANS   ;1200;1205;82;46.133333;5.833333;1.67
100;Chézery-Forens;CHEZERY FORENS  ;1200;1104;82;46.216667;5.883333;2.48
101;Léaz;LEAZ   ;1200;1209;82;46.1;5.883333;1.84
102;Ornex;ORNEX   ;1210;1281;82;46.283333;6.1;2.58
103;Ferney-Voltaire;FERNEY VOLTAIRE  ;1210;1160;82;46.25;6.116667;2.63
104;Grilly;GRILLY   ;1220;1180;82;46.333333;6.116667;2.63
105;Sauverny;SAUVERNY   ;1220;1397;82;46.316667;6.116667;2.63
106;Divonne-les-Bains;DIVONNE LES BAINS ;1220;1143;82;46.366667;6.133333;2.69
107;Torcieu;TORCIEU   ;1230;1421;82;45.916667;5.4;1.56
108;Cleyzieu;CLEYZIEU   ;1230;1107;82;45.9;5.433333;1.11
109;Nivollet-Montgriffon;NIVOLLET MONTGRIFFON  ;1230;1277;82;45.983333;5.433333;1.42
110;Saint-Rambert-en-Bugey;SAINT RAMBERT EN BUGEY;1230;1384;82;45.95;5.433333;0.88
111;Conand;CONAND   ;1230;1111;82;45.883333;5.466667;1.21
112;Oncieu;ONCIEU   ;1230;1279;82;45.95;5.466667;0.8
113;Arandas;ARANDAS   ;1230;1013;82;45.9;5.483333;1.11
114;Argis;ARGIS   ;1230;1017;82;45.933333;5.483333;0.9
115;Évosges;EVOSGES   ;1230;1155;82;45.958333;5.5;-1
116;Tenay;TENAY   ;1230;1416;82;45.916667;5.5;1
117;Chaley;CHALEY   ;1230;1076;82;45.95;5.533333;1.58
118;LaChapelle-du-Châtelard;LA CHAPELLE DU CHATELARD;1240;1085;82;46.066667;5.033333;1.38
119;Saint-Germain-sur-Renon;SAINT GERMAIN SUR RENON;1240;1359;82;46.083333;5.05;1.09
120;Marlieux;MARLIEUX   ;1240;1235;82;46.066667;5.066667;0.97
121;Saint-André-sur-Vieux-Jonc;SAINT ANDRE SUR VIEUX;1240;1336;82;46.15;5.066667;1.04
122;Saint-André-le-Bouchoux;SAINT ANDRE LE BOUCHOUX;1240;1335;82;46.116667;5.083333;0.89
123;Saint-Paul-de-Varax;SAINT PAUL DE VARAX;1240;1383;82;46.1;5.133333;0.72
124;Servas;SERVAS   ;1240;1405;82;46.133333;5.166667;0.69
125;Dompierre-sur-Veyle;DOMPIERRE SUR VEYLE ;1240;1145;82;46.066667;5.2;1.13
126;Lent;LENT   ;1240;1211;82;46.116667;5.2;1.02
127;Certines;CERTINES   ;1240;1069;82;46.133333;5.266667;1.97
128;Montagnat;MONTAGNAT   ;1250;1254;82;46.166667;5.283333;1.62
129;Ceyzériat;CEYZERIAT   ;1250;1072;82;46.166667;5.316667;1.15
130;Tossiat;TOSSIAT   ;1250;1422;82;46.133333;5.316667;1.44
131;Jasseron;JASSERON   ;1250;1195;82;46.216667;5.333333;0.84
132;Journans;JOURNANS   ;1250;1197;82;46.15;5.333333;1.08
133;Revonnas;REVONNAS   ;1250;1321;82;46.166667;5.333333;0.93
134;Ramasse;RAMASSE   ;1250;1317;82;46.2;5.35;0.7
135;Drom;DROM   ;1250;1150;82;46.216667;5.366667;0.8
136;Rignat;RIGNAT   ;1250;1324;82;46.15;5.366667;0.78
137;Villereversure;VILLEREVERSURE   ;1250;1447;82;46.183333;5.383333;0.6
138;Bohas;BOHAS   ;1250;1048;82;46.166667;5.4;0.52
139;Bohas-Meyriat-Rignat;BOHAS MEYRIAT RIGNAT ;1250;1245;82;46.133333;5.4;1.01
140;Chavannes-sur-Suran;CHAVANNES SUR SURAN ;1250;1095;82;46.266667;5.416667;1.14
141;HautecourtRomanèche;HAUTECOURT ROMANECHE  ;1250;1184;82;46.158333;5.416667;-1
142;Simandre-sur-Suran;SIMANDRE SUR SURAN ;1250;1408;82;46.216667;5.416667;0.8
143;Cize;CIZE   ;1250;1106;82;46.2;5.433333;0.72
144;Grand-Corent;GRAND CORENT  ;1250;1177;82;46.2;5.433333;0.72
145;Pouillat;POUILLAT   ;1250;1309;82;46.333333;5.433333;2.18
146;Romanèche;ROMANECHE   ;1250;1327;82;46.183333;5.433333;0.76
147;Germagnat;GERMAGNAT   ;1250;1172;82;46.316667;5.45;2.05
148;Corveissiat;CORVEISSIAT   ;1250;1125;82;46.233333;5.483333;1.58
149;Charancin;CHARANCIN   ;1260;1086;82;45.933333;5.633333;1.09
150;Lompnieu;LOMPNIEU   ;1260;1221;82;45.966667;5.65;1.04
151;LePetit-Abergement;LE PETIT ABERGEMENT ;1260;1292;82;46.033333;5.65;1.93
152;Sutrieu;SUTRIEU   ;1260;1414;82;45.95;5.65;1.04
153;Fitignieu;FITIGNIEU   ;1260;1161;82;45.933333;5.666667;1.1
154;LeGrand-Abergement;LE GRAND ABERGEMENT ;1260;1176;82;46.033333;5.666667;1.84
155;Luthézieu;LUTHEZIEU   ;1260;1226;82;45.9;5.666667;1.19
156;Ruffieu;RUFFIEU   ;1260;1330;82;46.0;5.666667;1.11
157;Champagne-en-Valromey;CHAMPAGNE EN VALROMEY ;1260;1079;82;45.9;5.683333;1.17
158;Hotonnes;HOTONNES   ;1260;1187;82;46.0;5.683333;1.16
159;Lilignod;LILIGNOD   ;1260;1217;82;45.95;5.683333;1.16
160;Vieu;VIEU   ;1260;1442;82;45.9;5.683333;1.17
161;Passin;PASSIN   ;1260;1287;82;45.933333;5.7;1.21
162;Songieu;SONGIEU   ;1260;1409;82;45.966667;5.7;1.21
163;Brénaz;BRENAZ   ;1260;1059;82;45.95;5.716667;1.27
164;Lochieu;LOCHIEU   ;1260;1218;82;45.933333;5.716667;1.27
165;Virieu-le-Petit;VIRIEU LE PETIT ;1260;1453;82;45.9;5.716667;1.44
166;Beaupont;BEAUPONT   ;1270;1029;82;46.4;5.266667;1.91
167;Domsure;DOMSURE   ;1270;1147;82;46.416667;5.3;2.01
168;Pirajoux;PIRAJOUX   ;1270;1296;82;46.383333;5.3;1.81
169;Villemotier;VILLEMOTIER   ;1270;1445;82;46.35;5.316667;1.61
170;Coligny;COLIGNY   ;1270;1108;82;46.383333;5.35;1.81
171;Salavre;SALAVRE   ;1270;1391;82;46.366667;5.35;1.71
172;Verjon;VERJON   ;1270;1432;82;46.35;5.35;1.61
173;Prévessin-Moens;PREVESSIN MOENS  ;1280;1313;82;46.25;6.083333;2.52
174;Moëns;MOENS   ;1280;1251;82;46.266667;6.1;2.58
